Contig	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12
NODE_375_length_32975_cov_11.254921	STRG.9253	0	0	0	0	336.189606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433.734497	0	0	1032.269287	0	0	0	200.540222	0	0	0	0	0	469.60556	0
NODE_37548_length_3553_cov_14.180389	STRG.147269	0	0	0	0	0	0	1211.413696	0	54.938534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_37601_length_3550_cov_7.086981	STRG.147355	534.07251	0	408.268982	0	0	0	181.828156	169.34967	221.258957	0	0	0	0	0	150.343674	0	0	0	0	0	0	922.516174	468.562286	1042.503418	249.90126	1014.283081	1003.7276	1240.440674	0	934.102173	583.264038	447.567535	0	0	976.762939	972.911804	498.596161	1003.922241	527.912109	319.198273	333.458191	0	594.697632	1258.94104	750.594177
NODE_3775_length_13295_cov_5.968807	STRG.43735	0	0	0	0	275.079132	0	0	0	0	0	148.951645	540.848267	342.696381	0	229.444397	0	0	0	0	0	0	0	0	0	0	480.089539	0	0	414.016113	0	0	0	0	0	0	0	348.284027	0	0	0	0	0	0	0	0
NODE_37814_length_3535_cov_12.147126	STRG.147773	713.796753	0	365.993744	616.259705	0	0	923.026672	0	1229.207764	0	564.619873	0	834.070312	0	217.297379	747.954529	0	0	0	182.130646	0	0	0	0	0	0	737.934265	0	0	315.586029	0	0	0	2751.719727	292.36142	378.420288	266.162262	331.937897	0	0	0	0	0	0	0
NODE_37853_length_3532_cov_7.001726	STRG.147845	0	0	280.200134	0	0	0	92.821419	50.389622	47.970329	0	26.376827	0	0	129.577972	67.823189	0	0	0	96.067719	0	88.225128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352.948181	0	0	0
NODE_37873_length_3531_cov_6.723820	STRG.147887	82.045563	0	192.239151	0	0	0	0	0	0	0	0	0	215.683044	0	0	439.06427	588.200256	2388.206787	0	351.303467	0	0	0	0	457.843292	0	164.207855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3798_length_13265_cov_22.858365	STRG.43906	59.909187	0	39.689846	0	0	0	50.855343	0	0	160.105515	0	285.405884	0	240.902573	0	336.950623	355.299591	0	74.457832	0	71.438225	222.833344	0	0	0	0	0	105.072487	0	0	0	0	0	0	0	0	123.677391	0	0	0	0	0	0	0	0
NODE_3798_length_13265_cov_22.858365	STRG.43908	0	0	0	0	0	0	0	0	0	876.675659	101.156555	0	0	0	0	0	0	0	0	0	235.442703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_38076_length_3519_cov_38.117783	STRG.148234	0	322.523254	54.009415	0	124.304535	0	180.566574	0	0	0	0	0	0	625.26825	53.776028	0	0	48.458561	0	0	122.288811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
